ID_Ingreso,Fecha,Monto,Descripcion,Persona,Categoria
ING-20250815-01,2025-08-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250730-04,2025-07-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250730-03,2025-07-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250715-05,2025-07-15,1800.0,Gratificación / Bono extraordinario,Persona A,Bono
ING-20250715-02,2025-07-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250715-01,2025-07-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250630-04,2025-06-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250630-03,2025-06-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250615-01,2025-06-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250615-02,2025-06-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250530-03,2025-05-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250530-04,2025-05-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250515-02,2025-05-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250515-01,2025-05-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250430-04,2025-04-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250430-03,2025-04-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250415-02,2025-04-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250415-01,2025-04-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250330-04,2025-03-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250330-03,2025-03-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250315-02,2025-03-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250315-01,2025-03-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250228-04,2025-02-28,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250228-03,2025-02-28,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250215-01,2025-02-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
ING-20250215-02,2025-02-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250130-03,2025-01-30,1750.0,Cierre de mes Sueldo Persona A,Persona A,Sueldo Fijo
ING-20250130-04,2025-01-30,1500.0,Cierre de mes Sueldo Persona B,Persona B,Sueldo Fijo
ING-20250115-02,2025-01-15,1500.0,Adelanto / Quincena Persona B,Persona B,Sueldo Fijo
ING-20250115-01,2025-01-15,1750.0,Adelanto / Quincena Persona A,Persona A,Sueldo Fijo
